Provincia,Partido,Unnamed: 2,Poblacion,ADSL,CABLEMODEM,Unnamed: 6,FIBRAOPTICA,SATELITAL,WIRELESS,TELEFONIAFIJA,3G,4G,Unnamed: 13,Latitud,Longitud
BUENOS AIRES,0,Villa Bordeau,00,--,0,0,--,--,0,0,SI,SI,00,0,"-62,3200223419024"
BUENOS AIRES,Bahía Blanca,Villa Espora,00,--,--,--,0,--,--,--,--,0,60560200,"-38,7765069529222","-62,1851833537179"
0,Balcarce,Balcarce,383760,0,SI,SI,SI,0,SI,SI,0,0,60630100,"-37,8482779294345",0
0,Balcarce,Los Pinos,3370,0,--,--,--,0,SI,0,--,--,00,0,"-58,3225920150442"
0,Balcarce,Napaleofú,00,0,--,--,0,0,SI,SI,SI,SI,00,"-37,6254980210026","-58,7461862359423"
BUENOS AIRES,0,Ramos Otero,950,--,0,--,--,--,0,--,0,SI,60630400,"-37,5426353712017",0
BUENOS AIRES,0,0,4980,--,0,0,--,--,0,SI,--,0,60630500,"-38,0122838564587","-58,355377761682"
BUENOS AIRES,Balcarce,Villa Laguna La Brava,00,--,--,--,0,--,SI,0,SI,SI,00,0,"-57,9806008736401"
0,Baradero,Baradero,285370,0,SI,--,SI,0,SI,0,SI,SI,60700100,0,"-59,5043068852807"
BUENOS AIRES,Baradero,0,3790,--,--,0,SI,SI,SI,SI,--,--,00,"-33,9810489198561","-59,6715601606315"
BUENOS AIRES,0,0,2030,--,0,0,--,--,0,0,--,SI,00,0,"-59,5585420642846"
BUENOS AIRES,Baradero,Villa Alsina (Est Alsina),00,SI,--,--,0,--,SI,SI,SI,0,60700400,"-33,9096038045591","-59,3882017132282"
0,Benito Juárez,Barker,00,0,--,SI,0,0,SI,SI,0,0,60840100,"-37,6424111302365",0
0,Futaleufú,Lago Rosario,870,0,--,--,--,0,--,0,--,--,00,0,"-71,3512318442886"
BUENOS AIRES,General Las Heras,General Las Heras (Est Las Heras),00,0,SI,SI,0,--,SI,SI,SI,SI,00,"-34,9267739074255","-58,9453407851291"
BUENOS AIRES,0,La Choza,410,--,0,--,--,--,0,--,0,--,63290300,"-34,7829908276155",0
BUENOS AIRES,General Las Heras,0,00,--,--,0,--,SI,0,--,--,0,63290200,"-34,8542796259808","-59,0533451317779"
0,General Las Heras,Plomer,00,0,--,--,0,0,--,0,--,--,00,0,"-59,0279756935744"
0,General Las Heras,Villars,11470,0,SI,SI,SI,0,--,0,--,--,63290600,0,"-58,9422589402025"
0,General Lavalle,Chacras de San Clemente,00,0,--,--,0,0,SI,--,--,0,63360200,"-36,4080851872455","-56,9433553335054"
BUENOS AIRES,General Lavalle,General Lavalle,00,--,SI,--,0,SI,SI,SI,0,SI,63360200,"-36,4080851872455",0
BUENOS AIRES,0,Pavón,9420,--,0,--,SI,--,0,--,SI,SI,00,"-36,7089537726649","-56,7598433617574"
BUENOS AIRES,General Paz,0,2650,--,--,0,--,--,--,0,--,--,00,0,"-58,447313612508"
BUENOS AIRES,0,0,6570,--,0,0,--,--,0,SI,0,0,63430200,"-35,2747490125694",0
BUENOS AIRES,0,Ranchos,79160,SI,0,SI,SI,--,0,SI,SI,0,63430300,"-35,5173520233652","-58,3184247148653"
0,General Paz,Villanueva (Ap Río Salado),00,0,--,--,0,0,SI,0,--,--,00,0,"-58,4350923167562"
0,General Pinto,Colonia San Ricardo (Est Iriarte),8110,0,--,--,--,0,SI,SI,SI,SI,00,"-34,4162137301573","-61,9280141749282"
MISIONES,0,General Urquiza,3720,--,0,--,--,--,0,--,0,0,540980400,"-27,0988816811273",0
BUENOS AIRES,Magdalena,0,20220,--,SI,0,SI,--,--,SI,0,SI,65050200,"-35,0816834306862",0
BUENOS AIRES,Magdalena,Los Naranjos,00,--,--,--,0,--,--,0,--,--,00,0,"-57,7036642458572"
0,Magdalena,Magdalena,110930,0,SI,SI,--,0,SI,0,SI,SI,65050400,0,"-57,5172585839912"
BUENOS AIRES,Magdalena,0,650,--,--,0,--,--,SI,--,--,0,65050500,"-35,1799267057869",0
BUENOS AIRES,0,Vieytes,2870,--,0,0,SI,--,0,SI,0,--,65050600,"-35,269568396303",0
BUENOS AIRES,0,Las Armas,3650,SI,0,--,--,--,0,0,SI,SI,65110100,0,"-57,8285752273883"
BUENOS AIRES,0,0,88830,SI,0,0,--,--,0,SI,SI,SI,00,"-36,8648514645038","-57,8829166198472"
0,Maipú,Santo Domingo,950,0,--,--,--,0,SI,SI,0,SI,65110300,"-36,7137597811284",0
0,Malvinas Argentinas,Area De Promocion El Triángulo,00,0,--,--,0,0,--,--,0,0,65150100,"-34,4544550576034",0
BUENOS AIRES,0,0,944410,SI,SI,0,SI,--,--,SI,SI,SI,00,"-34,4869935800875","-58,7286750953502"
BUENOS AIRES,0,Ingeniero Adolfo Sourdeaux,287800,SI,0,--,SI,--,0,0,SI,SI,65150100,0,"-58,6618050648717"
BUENOS AIRES,San Fernando,0,748140,SI,SI,0,SI,--,SI,SI,0,SI,67490100,"-34,4473601745411",0
BUENOS AIRES,0,0,427030,SI,0,--,SI,SI,0,SI,0,0,67490100,"-34,4619820050413",0
BUENOS AIRES,San Fernando,Virreyes,00,SI,SI,--,0,--,--,0,SI,SI,67490100,0,"-58,5761941633194"
0,San Isidro,Acassuso,129020,0,SI,SI,SI,0,--,SI,SI,SI,00,"-34,4794018120083","-58,5074043996961"
0,San Isidro,Beccar,590880,0,SI,--,SI,0,SI,SI,0,0,67560100,"-34,4674159462571",0
0,San Isidro,Boulogne Sur Mer,00,0,SI,--,0,0,SI,SI,0,SI,67560100,"-34,4983312888498",0
CABA,0,NUEVA POMPEYA,426950,SI,0,SI,SI,SI,0,0,SI,SI,00,0,"-58,4188550090093"
CHACO,0,0,320270,--,0,0,SI,--,0,0,SI,SI,221400400,0,"-59,04393778912"
CHACO,San Fernando,Puerto Vilelas,00,--,--,--,0,0,--,--,0,0,221400500,"-27,5106090846354",0
0,San Fernando,Resistencia,2907230,0,SI,SI,SI,0,SI,SI,SI,0,221400600,"-27,4521194584549","-58,9876174408016"
CHACO,0,Samuhú,12510,--,0,--,--,SI,0,0,--,SI,00,0,"-60,3941746057505"
BUENOS AIRES,Tandil,0,00,--,--,0,SI,--,SI,--,SI,SI,00,"-37,35","-59,"
0,Tandil,Gardey,00,0,--,--,SI,0,SI,SI,0,0,67910300,"-37,2823323375205",0
BUENOS AIRES,Tandil,María Ignacia (Est Vela),00,SI,--,--,0,--,SI,SI,--,0,67910400,"-37,4029073074266","-59,5093354449092"
0,Tandil,Tandil,00,0,SI,SI,0,0,SI,SI,SI,SI,00,"-37,3238849060878","-59,1310691770429"
0,Tapalqué,Crotto,2470,0,--,--,--,0,--,0,--,--,00,0,"-60,1711185359919"
BUENOS AIRES,0,0,74440,--,0,0,--,SI,0,SI,SI,0,67980200,"-36,3573669882462","-60,0247443487218"
BUENOS AIRES,0,Velloso,1270,--,0,--,--,--,0,--,0,--,67980300,"-36,1215309084723",0
0,Tigre,Benavídez,427810,0,SI,--,SI,0,SI,0,SI,SI,68050100,0,"-58,6887919689512"
BUENOS AIRES,Tigre,Dique Luján,00,0,SI,--,0,--,SI,0,SI,SI,00,0,"-58,6917925096496"
CABA,COMUNA 10,FLORESTA,00,SI,SI,SI,0,SI,SI,SI,0,SI,20000100,"-34,6276862905939",0
0,Futaleufú,Los Cipreses,00,0,--,--,0,0,--,SI,--,0,260350500,"-43,1847146210617","-71,6413919295155"
CHUBUT,Futaleufú,0,63530,SI,--,0,--,SI,SI,0,SI,SI,00,0,"-71,4654853699539"
CHUBUT,0,0,280,--,0,0,--,SI,0,SI,--,--,00,"-42,9006375858067","-71,6061535113717"
CHUBUT,0,28 de Julio,2370,--,0,--,SI,SI,0,--,SI,0,260420400,"-43,3809771295585","-65,8386877428492"
CHUBUT,Gaiman,0,1560,--,--,0,--,--,--,SI,0,0,260420100,"-43,7032847513538",0
0,Gaiman,Dolavon,28870,0,--,SI,SI,0,--,SI,--,SI,00,"-43,309297578868","-65,7087388385691"
0,San Isidro,Martínez,00,0,SI,SI,0,SI,SI,0,SI,SI,00,0,"-58,5105732755943"
BUENOS AIRES,0,0,454030,SI,0,0,SI,SI,0,SI,0,SI,67560100,"-34,4770412162141",0
BUENOS AIRES,0,Villa Adelina,354730,SI,0,--,SI,--,0,SI,0,0,67560100,"-34,5151197673508",0
0,San Miguel,Bella Vista,00,0,SI,SI,0,0,SI,0,SI,SI,67600100,0,"-58,6960409885544"
